11/04/2024   03:38:03  AM|DISORDERLY CONDUCT|LEWERS ST / LAUULA ST|WAIKIKI|District 6
11/04/2024   03:34:35  AM|MISC SERVICE CALL|16XX  SAND ISLAND PKWY|KALIHI|District 5
11/04/2024   03:29:21  AM|FIRE CALL|9405XX  KUNIA RD|WAIPAHU|District 3
11/04/2024   03:15:24  AM|FOLLOW UP|9205XX  UALEHEI ST|MAKAKILO|District 8
11/04/2024   03:02:06  AM|MISC PUB|8501XX  ALA AKAU ST|WAIANAE|District 8
11/04/2024   02:46:00  AM|MISC SERVICE CALL|2XX  WILIKINA DR|WAHIAWA|District 2
11/04/2024   02:20:18  AM|MVC VEH TOWED|6507XX  KAUKONAHUA RD|WAHIAWA|District 2
11/04/2024   01:50:13  AM|FAMILY OFF/NEG|9403XX  KAHUANANI ST|WAIPAHU|District 3
11/03/2024   21:17:28  PM|VEH TOWED|15XX  AMELIA ST|KALIHI|District 5
