01/02/2024   22:28:36  PM|STALLED/HAZARD VEH|2XX  H1E FWY|KALIHI|District 5
01/02/2024   22:23:05  PM|TRAFFIC COMPLAINT|FORT WEAVER RD / PARISH DR|EWA BEACH|District 8
01/02/2024   22:21:16  PM|MVC|9106XX  FARRINGTON HWY|KAPOLEI|District 8
01/02/2024   22:19:42  PM|AUTO THEFT RECOVERY|5XX  FARRINGTON HWY|KAPOLEI|District 8
01/02/2024   22:18:20  PM|MVC|25XX  KALAKAUA AVE|WAIKIKI|District 6
01/02/2024   22:15:18  PM|ARGUMENT|41XX  GUADALCANAL AVE|KALAELOA|District 8
01/02/2024   22:07:09  PM|ICF/SCF|60XX  HERON AVE|IROQUOIS|District 8
01/02/2024   21:58:24  PM|ARGUMENT FAMILY|9500XX  KIPAPA DR|MILILANI|District 2
01/02/2024   21:42:19  PM|UNATTENDED DEATH|11XX  WAIMANU ST|HONOLULU|District 1
01/02/2024   20:44:43  PM|FAMILY OFF/NEG|9111XX  HUALEWA ST|EWA BEACH|District 8
