02/03/2024   01:54:18  AM|TRAFFIC STOP|BISHOP ST / QUEEN ST|DOWNTOWN|District 1
02/03/2024   01:33:44  AM|ARGUMENT|9509XX  WIKAO ST|MILILANI|District 2
02/03/2024   01:30:49  AM|ARGUMENT|18XX  WILIKINA DR|WAHIAWA|District 2
02/03/2024   00:48:28  AM|DUI|2XX  H1E FWY|KALIHI|District 5
02/02/2024   23:52:52  PM|UNATTENDED DEATH|8406XX  KILI DR|MAKAHA|District 8
02/02/2024   23:51:09  PM|FAMILY OFF/NEG|8405XX  NUKEA ST|MAKAHA|District 8
02/02/2024   23:37:13  PM|UNATTENDED DEATH|4506XX  KIPAWALE PL|KANEOHE|District 4
02/02/2024   23:17:57  PM|AGGRAVATED ASSAULT|5601XX  PUALALEA ST|KAHUKU|District 4
02/02/2024   22:18:02  PM|FAMILY OFF/NEG|XX  ILIAHI ST|NUUANU|District 5
