01/21/2023   12:11:24  PM|MVC|23XX  HOONANEA ST|MANOA|District 7
01/21/2023   12:07:34  PM|UEMV|4601XX  KIOWAI ST|KANEOHE|District 4
01/21/2023   12:04:46  PM|ORDER VIOLATION|8604XX  LUALUALEI HMSTD RD|WAIANAE|District 8
01/21/2023   12:04:32  PM|ARGUMENT FAMILY|8911XX  PIKAIOLENA ST|NANAKULI|District 8
01/21/2023   12:01:34  PM|RUNAWAY|5606XX  KAM HWY|KAHUKU|District 4
01/21/2023   11:06:20  AM|FAMILY OFF/NEG|13XX  AALA ST|DOWNTOWN|District 1
01/21/2023   10:44:11  AM|FOUND PROPERTY|1XX  N KAINALU DR|KAILUA|District 4
01/21/2023   09:38:39  AM|BURGLARY|4XX  NIU ST|WAIKIKI|District 6
01/21/2023   09:22:28  AM|UNATTENDED DEATH|8XX  BIRCH ST|HONOLULU|District 1
01/21/2023   09:19:50  AM|LOST PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
