01/21/2024   06:42:31  AM|AUTO THEFT|12XX  AALA ST|DOWNTOWN|District 1
01/21/2024   06:41:12  AM|MISC SERVICE CALL|8701XX  HELELUA ST|NANAKULI|District 8
01/21/2024   06:40:43  AM|MISC SERVICE CALL|34XX  ALIAMANU ST|ALIAMANU|District 5
01/21/2024   06:31:11  AM|SUSP CIRCUMSTANCE|9814XX  KOAHEAHE ST|PEARL CITY|District 3
01/21/2024   06:25:50  AM|PARKING VIOLATION|9802XX  KALUAMOI PL|PEARL CITY|District 3
01/21/2024   06:25:19  AM|MEDICAL ASSIST|4105XX  POALIMA ST|WAIMANALO|District 4
01/21/2024   05:33:27  AM|VEH TOWED|PUIWA RD / PUIWA LN|NUUANU|District 5
01/21/2024   05:22:37  AM|TRESPASS WARN|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
01/20/2024   23:09:20  PM|HOMICIDE|8601XX  FARRINGTON HWY|WAIANAE|District 8
