02/19/2023   09:12:25  AM|NUISANCE COMPLAINT|4XX  LAGOON DR|AIRPORT|District 5
02/19/2023   09:06:06  AM|ARGUMENT FAMILY|4106XX  ALA KOA|WAIMANALO|District 4
02/19/2023   09:01:44  AM|MISC SERVICE CALL|9401XX  KUANALIO PL|MILILANI|District 2
02/19/2023   08:56:47  AM|PROPERTY DAMAGE|6404XX  KAM HWY|HALEIWA|District 2
02/19/2023   08:44:09  AM|MISC SERVICE CALL|9101XX  PUHIKANI PL|EWA BEACH|District 8
02/19/2023   08:07:16  AM|TRAFFIC COMPLAINT|5104XX  KAM HWY|KAAAWA|District 4
02/19/2023   07:34:53  AM|MISC SERVICE CALL|8XX  S BERETANIA ST|HONOLULU|District 1
02/19/2023   07:06:37  AM|MVC|MAILIILI RD / PAAKEA RD|WAIANAE|District 8
02/19/2023   06:38:28  AM|WARRANT ARREST|6604XX  HALEIWA RD|HALEIWA|District 2
02/19/2023   05:58:31  AM|BURGLARY|12XX  S BERETANIA ST|HONOLULU|District 1
