08/12/2024   01:11:08  AM|ALARM CALL|34XX  KEPUHI ST|KAPAHULU|District 7
08/12/2024   01:10:58  AM|ARGUMENT FAMILY|9411XX  KA UKA BLVD|WAIPIO|District 3
08/12/2024   01:05:59  AM|MISC PUB|S KING ST / KEEAUMOKU ST|HONOLULU|District 1
08/12/2024   01:03:56  AM|AGGRAVATED ASSAULT|2XX  S KING ST|DOWNTOWN|District 1
08/12/2024   00:56:43  AM|MISC PUB|8600XX  FARRINGTON HWY|WAIANAE|District 8
08/12/2024   00:42:45  AM|FOLLOW UP|8403XX  FARRINGTON HWY|MAKAHA|District 8
08/12/2024   00:39:35  AM|MISC PUB|S KING ST / KAHEKA ST|HONOLULU|District 1
08/12/2024   00:30:57  AM|VEH TOWED|ALA LAULANI / ALA ILIMA|SALT LAKE|District 5
08/11/2024   23:40:12  PM|FAMILY OFF/NEG WARN|16XX  MERKLE ST|KALIHI|District 5
