01/23/2025   00:36:18  AM|MISC SERVICE CALL|9405XX  KUPUOHI ST|WAIPAHU|District 3
01/23/2025   00:26:15  AM|UEMV|10XX  MIKOLE ST|KALIHI|District 5
01/23/2025   00:24:18  AM|TRAFFIC ARREST/CITATION|H1E WAKEA OFF|KAPOLEI|District 8
01/23/2025   00:15:43  AM|WARRANT ARREST|WAIALAE AVE / 5TH AVE|KAIMUKI|District 7
01/23/2025   00:10:19  AM|VEH TOWED|WILIKINA DR / LAKEVIEW CIR|WAHIAWA|District 2
01/22/2025   23:30:06  PM|DUI|XX  H1W FWY|MAKAKILO|District 8
01/22/2025   23:16:38  PM|FOLLOW UP|6XX  N KING ST|KALIHI|District 5
01/22/2025   23:02:46  PM|MISC CRIME OFFENSE|10XX  MANAWAI ST|KAPOLEI|District 8
01/22/2025   22:32:44  PM|FOLLOW UP|3XX  N KUAKINI ST|NUUANU|District 5
