05/15/2023   05:42:37  AM|FRAUD|9404XX  OPEHA ST|WAIPAHU|District 3
05/15/2023   05:39:42  AM|THEFT|26XX  KAPIOLANI BLVD|MCCULLY|District 7
05/15/2023   05:35:24  AM|PARKING VIOLATION|26XX  DATE ST|MCCULLY|District 7
05/15/2023   05:23:33  AM|THREATENING|11XX  SMITH ST|DOWNTOWN|District 1
05/15/2023   04:56:29  AM|MVC|16XX  KAPIOLANI BLVD|HONOLULU|District 1
05/15/2023   04:50:56  AM|VEH TOWED|7XX  HOAWA ST|MCCULLY|District 7
05/15/2023   04:41:22  AM|BURGLARY|9XX  ALAKEA ST|DOWNTOWN|District 1
05/15/2023   04:33:53  AM|RUNAWAY|8403XX  IKUONE PL|MAKAHA|District 8
05/15/2023   04:22:05  AM|FOLLOW UP|8506XX  FARRINGTON HWY|WAIANAE|District 8
05/14/2023   22:48:55  PM|MVC VEH TOWED|5705XX  KAM HWY|KAHUKU|District 4
