10/20/2024   06:13:10  AM|MVC|NUUANU AVE / S SCHOOL ST|NUUANU|District 5
10/20/2024   06:07:47  AM|PARKING VIOLATION|30XX  PUALEI CIR|WAIKIKI|District 6
10/20/2024   06:05:41  AM|BURGLARY|9801XX  AIEA KAI WAY|AIEA|District 3
10/20/2024   05:59:30  AM|NUISANCE COMPLAINT|9403XX  MOKUOLA ST|WAIPAHU|District 3
10/20/2024   05:54:53  AM|NUISANCE COMPLAINT|8719XX  FARRINGTON HWY|NANAKULI|District 8
10/20/2024   05:53:08  AM|PROPERTY DAMAGE|3XX  SEASIDE AVE|WAIKIKI|District 6
10/20/2024   05:51:26  AM|THEFT|25XX  KALAKAUA AVE|WAIKIKI|District 6
10/20/2024   05:16:25  AM|UNATTENDED DEATH|20XX  YOUNG ST|MCCULLY|District 7
10/20/2024   04:59:55  AM|TRAFFIC COMPLAINT|9406XX  KUPUOHI ST|WAIPAHU|District 3
