09/15/2023   02:28:10  AM|MISC SERVICE CALL|5XX  QUEEN ST|HONOLULU|District 1
09/15/2023   02:24:12  AM|NOISE COMPLAINT|5XX  KAWAILOA RD|KAILUA|District 4
09/15/2023   02:20:02  AM|MVC VEH TOWED|ONEAWA ST / MOKAPU BLVD|KAILUA|District 4
09/15/2023   02:09:41  AM|MVC|10XX  KOOHOO PL|KAILUA|District 4
09/15/2023   01:12:06  AM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
09/15/2023   00:17:53  AM|MISC PUB|4505XX  PAHIA RD|KANEOHE|District 4
09/14/2023   23:46:35  PM|WARRANT ARREST|9901XX  AIEA HTS DR|AIEA|District 3
09/14/2023   22:41:13  PM|TRAFFIC ARREST/CITATION|1XX  H1E FWY|AIEA|District 3
09/14/2023   20:09:33  PM|MISC PUB|KAM HWY / KAAAWA PL|KAAAWA|District 4
09/14/2023   19:42:51  PM|FAMILY OFF/NEG|6901XX  FARRINGTON HWY|MOKULEIA|District 2
