03/15/2025   19:11:27  PM|HAZARDOUS DRIVER|XX  H2N FWY|MILILANI|District 2
03/15/2025   19:10:18  PM|FOLLOW UP|9404XX  KUPUOHI ST|WAIPAHU|District 3
03/15/2025   19:09:18  PM|LOST PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/15/2025   19:04:06  PM|WARRANT ARREST|46XX  KAPOLEI PKWY|KAPOLEI|District 8
03/15/2025   18:54:40  PM|MISC SERVICE CALL|9612XX  WAIHONA ST|PEARL CITY|District 3
03/15/2025   18:46:30  PM|SUSP VEH|66XX  KAUNA ST|HAWAII KAI|District 7
03/15/2025   18:40:03  PM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
03/15/2025   18:36:51  PM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/15/2025   18:08:01  PM|FOLLOW UP|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/15/2025   17:55:10  PM|ICF/SCF|8409XX  HANALEI ST|MAKAHA|District 8
