04/24/2024   21:43:13  PM|MVC|H1E MANAGERS OP|WAIPAHU|District 3
04/24/2024   21:38:43  PM|MISC PUB|8513XX  KAMAILEUNU ST|WAIANAE|District 8
04/24/2024   21:36:22  PM|MISC PUB|30XX  MAIGRET ST|KAIMUKI|District 7
04/24/2024   21:34:40  PM|NOISE COMPLAINT|36XX  KUMU ST|MANOA|District 7
04/24/2024   21:29:57  PM|FOLLOW UP|25XX  KAPIOLANI BLVD|MCCULLY|District 7
04/24/2024   21:29:21  PM|FOLLOW UP|AAWA DR / HAMANA ST|EWA BEACH|District 8
04/24/2024   21:23:32  PM|MISC SERVICE CALL|20XX  PAHUKUI ST|KALIHI|District 5
04/24/2024   21:19:48  PM|WARRANT ARREST|8906XX  FARRINGTON HWY|NANAKULI|District 8
04/24/2024   20:17:14  PM|PROPERTY DAMAGE|28XX  E MANOA RD|MANOA|District 7
04/24/2024   13:00:28  PM|THREATENING|1XX  ULUNIU AVE|WAIKIKI|District 6
