01/17/2023   23:09:28  PM|THREATENING|9115XX  KAIKOI PL|EWA BEACH|District 8
01/17/2023   23:04:40  PM|NOISE COMPLAINT|13XX  LUNALILO ST|MAKIKI|District 1
01/17/2023   23:04:00  PM|VEH TOWED|9XX  KAWAIAHAO ST|HONOLULU|District 1
01/17/2023   22:52:22  PM|FAMILY OFF/NEG|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
01/17/2023   22:34:48  PM|TRESPASS WARN|9512XX  MEHEULA PKWY|MILILANI|District 2
01/17/2023   22:20:32  PM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/17/2023   21:55:05  PM|ROBBERY|13XX  NUUANU AVE|DOWNTOWN|District 1
01/17/2023   21:04:56  PM|SIMPLE ASSAULT|KALAKAUA AVE / LILIUOKALANI AVE|WAIKIKI|District 6
01/17/2023   20:41:08  PM|ARSON|24XX  KALAKAUA AVE|WAIKIKI|District 6
