04/12/2025   07:29:02  AM|ALARM CALL|9102XX  OLAI ST|KAPOLEI|District 8
04/12/2025   07:01:14  AM|VEH TOWED|12XX  MOOKAULA ST|KALIHI|District 5
04/12/2025   06:49:57  AM|MISC PUB|5801XX  MAMAO ST|SUNSET|District 2
04/12/2025   06:46:01  AM|WARRANT ARREST|SUMNER ST / IWILEI RD|KALIHI|District 5
04/12/2025   06:44:27  AM|VEH TOWED|KINAU ST / WAIAU PL|HONOLULU|District 1
04/12/2025   06:42:28  AM|AGGRAVATED ASSAULT|1XX  KANIAHE PL|WAHIAWA|District 2
04/12/2025   06:01:46  AM|HARASSMENT|15XX  PIIKOI ST|MAKIKI|District 1
04/12/2025   05:34:19  AM|SIMPLE ASSAULT|25XX  KALAKAUA AVE|WAIKIKI|District 6
04/12/2025   05:25:18  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/12/2025   04:36:27  AM|MVC VEH TOWED|9404XX  KAM HWY|MILILANI|District 2
