02/09/2025   09:28:14  AM|SUSP CIRCUMSTANCE|5900XX  OOPUOLA ST|SUNSET|District 2
02/09/2025   09:27:01  AM|PARKING VIOLATION|20XX  VANCOUVER DR|MANOA|District 7
02/09/2025   09:20:18  AM|MISC PUB|23XX  KAM HWY|KALIHI|District 5
02/09/2025   09:19:50  AM|PARKING VIOLATION|HIND IUKA DR / MONA ST|AINA HAINA|District 7
02/09/2025   09:19:10  AM|HAZARDOUS DRIVER|SIERRA DR / MAUNALANI CIR|KAIMUKI|District 7
02/09/2025   09:12:50  AM|HARASSMENT|17XX  YOUNG ST|MCCULLY|District 7
02/09/2025   09:10:27  AM|MISC SERVICE CALL|15XX  POHAKU ST|KALIHI|District 5
02/09/2025   09:05:00  AM|AUTO THEFT|9101XX  WAIMAPUNA PL|EWA BEACH|District 8
02/09/2025   08:52:37  AM|BURGLARY|MAWEKE ST / KUMUHONUA ST|EWA BEACH|District 8
