02/24/2025   05:43:32  AM|PARKING VIOLATION|KIPAHULU PL / KAHAU ST|NANAKULI|District 8
02/24/2025   05:41:36  AM|STALLED/HAZARD VEH|KAM HWY / RADFORD DR|AIEA|District 3
02/24/2025   05:39:16  AM|ARGUMENT|5XX  N KING ST|KALIHI|District 5
02/24/2025   05:38:54  AM|ALARM CALL|19XX  YOUNG ST|MCCULLY|District 7
02/24/2025   05:35:20  AM|UEMV|20XX  S BERETANIA ST|MCCULLY|District 7
02/24/2025   05:32:39  AM|WARRANT ARREST|IWILEI RD / KUWILI ST|KALIHI|District 5
02/24/2025   05:30:26  AM|THEFT|8XX  MIDDLE ST|KALIHI|District 5
02/24/2025   05:25:17  AM|MVC|KAPIOLANI BLVD / DATE ST|MCCULLY|District 7
02/24/2025   04:49:08  AM|UNATTENDED DEATH|9802XX  UALO ST|AIEA|District 3
02/24/2025   00:01:49  AM|VEH TOWED|26XX  KILIHAU ST|MAPUNAPUNA|District 5
