03/24/2023   02:52:52  AM|NUISANCE COMPLAINT|9817XX  KAAHUMANU ST|AIEA|District 3
03/24/2023   02:48:14  AM|ATTENDED DEATH|24XX  10TH AVE|KAIMUKI|District 7
03/24/2023   02:40:52  AM|FOLLOW UP|9121XX  FORT WEAVER RD|EWA BEACH|District 8
03/24/2023   02:15:11  AM|MISC PUB|9400XX  AAAHI PL|MILILANI|District 2
03/24/2023   01:45:51  AM|VEH TOWED|ALA MOANA BLVD / ATKINSON DR|ALA MOANA|District 1
03/24/2023   01:41:42  AM|UNATTENDED DEATH|9206XX  MALAHUNA LOOP|KAPOLEI|District 8
03/24/2023   01:23:26  AM|DUI|17XX  KALAUOKALANI WAY|HONOLULU|District 1
03/23/2023   23:54:11  PM|DUI|S KING ST / MCCULLY ST|MCCULLY|District 7
03/23/2023   23:46:40  PM|FOLLOW UP|5XX  QUEEN ST|HONOLULU|District 1
