08/07/2024   22:59:04  PM|FOLLOW UP|4508XX  KUPOHU ST|KANEOHE|District 4
08/07/2024   22:56:13  PM|THEFT|DATE ST / MAHIAI ST|MCCULLY|District 7
08/07/2024   22:43:01  PM|MISC SERVICE CALL|21XX  ALGAROBA ST|MCCULLY|District 7
08/07/2024   22:41:42  PM|MVC VEH TOWED|32XX  WAIALAE AVE|KAIMUKI|District 7
08/07/2024   22:38:23  PM|SIMPLE ASSAULT|15XX  KEEAUMOKU ST|MAKIKI|District 1
08/07/2024   22:33:30  PM|MISC PUB|PRINCE EDWARD ST / KAIULANI AVE|WAIKIKI|District 6
08/07/2024   22:27:16  PM|ARGUMENT|8XX  S KING ST|HONOLULU|District 1
08/07/2024   21:23:07  PM|WARRANT ARREST|8600XX  FARRINGTON HWY|WAIANAE|District 8
08/07/2024   20:52:14  PM|UEMV|10XX  KAHEKA ST|HONOLULU|District 1
