03/14/2023   20:42:17  PM|ARGUMENT FAMILY|26XX  WAOLANI AVE|NUUANU|District 5
03/14/2023   20:38:23  PM|TRAFFIC STOP|COOKE ST / ALA MOANA BLVD|KAKAAKO|District 1
03/14/2023   20:28:58  PM|MVC|16XX  KAWELOKA ST|PEARL CITY|District 3
03/14/2023   20:23:36  PM|HARASSMENT|9110XX  KAUPEA ST|KAPOLEI|District 8
03/14/2023   20:22:09  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/14/2023   20:10:06  PM|MVC|16XX  KUAHAKA ST|PEARL CITY|District 3
03/14/2023   20:06:19  PM|THEFT|9XX  QUEEN ST|HONOLULU|District 1
03/14/2023   17:22:17  PM|MISC PUB|9101XX  PAPIPI RD|EWA BEACH|District 8
03/14/2023   16:09:25  PM|FOLLOW UP|8708XX  ILIILI RD|MAILI|District 8
