08/12/2024   03:09:51  AM|ARGUMENT FAMILY|8XX  KAPAAKEA LN|MCCULLY|District 7
08/12/2024   03:09:45  AM|MISC PUB|TANTALUS DR / ROUND TOP DR|MAKIKI|District 1
08/12/2024   03:03:54  AM|MISC PUB|12XX  KINAU ST|HONOLULU|District 1
08/12/2024   03:01:22  AM|SUSP PERSON|5XX  QUEEN ST|HONOLULU|District 1
08/12/2024   02:58:06  AM|ARGUMENT|8601XX  FARRINGTON HWY|WAIANAE|District 8
08/12/2024   02:41:48  AM|TRESPASS WARN|2XX  N KING ST|KALIHI|District 5
08/12/2024   02:31:31  AM|MVC VEH TOWED|ALAKAWA ST / N NIMITZ HWY|KALIHI|District 5
08/12/2024   02:13:15  AM|MISC PUB|5400XX  HAUULA HMSTD RD|HAUULA|District 4
08/12/2024   02:04:22  AM|MISC PUB|MAKIKI ST / KINAU ST|HONOLULU|District 1
