08/12/2023   04:41:22  AM|PARKING VIOLATION|4XX  KALAIMOKU ST|WAIKIKI|District 6
08/12/2023   04:40:18  AM|VEH TOWED|23XX  OWENE LN|KALIHI|District 5
08/12/2023   04:35:54  AM|NUISANCE COMPLAINT|10XX  WAIMANO HOME RD|PEARL CITY|District 3
08/12/2023   03:53:28  AM|MVC VEH TOWED|9801XX  KAONOHI ST|AIEA|District 3
08/12/2023   02:14:27  AM|VEH TOWED|N KUAKINI ST / KALUHIKAI LN|NUUANU|District 5
08/12/2023   02:01:01  AM|DUI|BERNICE ST / KALIHI ST|KALIHI|District 5
08/12/2023   01:21:05  AM|MVC VEH TOWED|9410XX  WAIPAHU ST|WAIPAHU|District 3
08/12/2023   00:05:31  AM|TRAFFIC STOP|8XX  KAM HWY|PEARL CITY|District 3
08/11/2023   23:43:52  PM|DUI|PUU KULA DR / PUU ALANI WAY|PEARL CITY|District 3
08/11/2023   22:35:54  PM|TRAFFIC ARREST/CITATION|XX  W MOANALUA FWY|AIEA|District 3
