01/16/2023   15:40:22  PM|UEMV|4XX  KAIOLU ST|WAIKIKI|District 6
01/16/2023   15:40:07  PM|PARKING VIOLATION|15XX  MAKAMUA ST|PEARL CITY|District 3
01/16/2023   15:39:38  PM|AUTO THEFT|9400XX  FARRINGTON HWY|WAIPAHU|District 3
01/16/2023   15:22:12  PM|ARGUMENT FAMILY|9808XX  LEIALII ST|AIEA|District 3
01/16/2023   15:14:28  PM|FOLLOW UP|9401XX  LEOWAENA ST|WAIPAHU|District 3
01/16/2023   15:00:33  PM|FOUND PROPERTY|4504XX  KANEOHE BAY DR|KANEOHE|District 4
01/16/2023   13:52:23  PM|THEFT|16XX  N SCHOOL ST|KALIHI|District 5
01/16/2023   12:21:27  PM|WARRANT ARREST|9402XX  ANIANI PL|WAIPAHU|District 3
01/16/2023   11:47:43  AM|FOLLOW UP|23XX  N KING ST|KALIHI|District 5
01/16/2023   10:03:58  AM|VEH TOWED|5802XX  KAM HWY|SUNSET|District 2
