03/03/2024   12:11:03  PM|MISSING PERSON|14XX  AHIAHI ST|KALIHI|District 5
03/03/2024   12:10:26  PM|NUISANCE COMPLAINT|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
03/03/2024   12:08:34  PM|BURGLARY|9400XX  AKUALELE PL|MILILANI|District 2
03/03/2024   12:04:17  PM|PARKING VIOLATION|8XX  MOKULUA DR|KAILUA|District 4
03/03/2024   12:03:29  PM|AUTO THEFT|65XX  KALANIANAOLE HWY|HAWAII KAI|District 7
03/03/2024   12:03:11  PM|FOLLOW UP|KUMUHAU ST / MAHAILUA ST|WAIMANALO|District 4
03/03/2024   12:00:12  PM|AUTO THEFT|35XX  CAMPBELL AVE|KAPAHULU|District 7
03/03/2024   11:46:45  AM|RUNAWAY|5300XX  HALAI PL|HAUULA|District 4
03/03/2024   11:07:53  AM|THREATENING|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/03/2024   10:07:49  AM|VEH TOWED|KUAOA ST / PAALII ST|MILILANI|District 2
