12/04/2023   05:56:52  AM|FRAUD|17XX  KAPIOLANI BLVD|HONOLULU|District 1
12/04/2023   05:54:57  AM|THEFT|24XX  CAMPUS RD|MANOA|District 7
12/04/2023   05:51:57  AM|THEFT|44XX  KAPOLEI PKWY|KAPOLEI|District 8
12/04/2023   05:47:17  AM|MISC PUB|9408XX  UKEE ST|WAIPIO|District 3
12/04/2023   05:45:44  AM|STALLED VEH|XX  H1E FWY|WAIPAHU|District 3
12/04/2023   05:45:03  AM|PARKING VIOLATION|WAILEWA PL / KOLOWAKA DR|EWA BEACH|District 8
12/04/2023   05:36:01  AM|ICF/SCF|64XX  101ST ST|IROQUOIS|District 8
12/04/2023   05:15:44  AM|THEFT|33XX  FRANCIS ST|KAPAHULU|District 7
12/04/2023   01:56:35  AM|FOLLOW UP|5501XX  KULANUI ST|LAIE|District 4
