10/28/2024   22:56:05  PM|NOISE COMPLAINT|8408XX  HANALEI ST|MAKAHA|District 8
10/28/2024   22:53:56  PM|DROPPED CALL|9802XX  KAONOHI ST|AIEA|District 3
10/28/2024   22:47:39  PM|NUISANCE COMPLAINT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
10/28/2024   22:47:34  PM|MVC|13XX  KAUMAHANA PL|PEARL CITY|District 3
10/28/2024   22:44:33  PM|MVC VEH TOWED|7101XX  WILIKINA DR|WAHIAWA|District 2
10/28/2024   22:42:54  PM|TRESPASS WARN|11XX  KUALA ST|PEARL CITY|District 3
10/28/2024   22:31:16  PM|SUSP VEH|9907XX  AUMAKIKI PL|AIEA|District 3
10/28/2024   22:28:08  PM|VEH TOWED|9501XX  KAWAU ST|MILILANI|District 2
10/28/2024   22:04:47  PM|AGGRAVATED ASSAULT|XX  N HOTEL ST|DOWNTOWN|District 1
10/28/2024   20:10:43  PM|FOLLOW UP|23XX  KALENA DR|KALIHI|District 5
