05/19/2024   10:26:17  AM|BURGLARY|6XX  N VINEYARD BLVD|KALIHI|District 5
05/19/2024   10:24:32  AM|WARRANT ARREST|ALA WAI BLVD / NAMAHANA ST|WAIKIKI|District 6
05/19/2024   10:16:05  AM|UEMV|1XX  DOANE ST|SCHOFIELD|District 2
05/19/2024   10:00:41  AM|RECKLESS ENDANGERING|4704XX  MAHAKEA RD|KAHALUU|District 4
05/19/2024   09:59:10  AM|THEFT|12XX  WAIMANU ST|HONOLULU|District 1
05/19/2024   09:58:16  AM|MISC PUB|7XX  ILIAINA ST|KAILUA|District 4
05/19/2024   09:55:34  AM|RUNAWAY|9121XX  OLD FORT WEAVER RD|EWA BEACH|District 8
05/19/2024   09:52:57  AM|TRESPASS WARN|9503XX  KUAHELANI AVE|MILILANI|District 2
05/19/2024   08:55:01  AM|MVC|5601XX  PUULUANA PL|KAHUKU|District 4
05/19/2024   08:53:32  AM|VEH TOWED|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/19/2024   08:43:49  AM|THREATENING|9511XX  LEHIWA DR|MILILANI|District 2
05/19/2024   08:39:13  AM|WARRANT ARREST|KOA AVE / ULUNIU AVE|WAIKIKI|District 6
05/19/2024   07:37:17  AM|MISC PUB|XX  N HOTEL ST|DOWNTOWN|District 1
05/19/2024   06:53:45  AM|INDECENT EXPOSURE|3XX  SARATOGA RD|WAIKIKI|District 6
