04/30/2023   04:58:54  AM|NOISE COMPLAINT|2XX  LILIUOKALANI AVE|WAIKIKI|District 6
04/30/2023   04:54:18  AM|MISC PUB|9XX  KEEAUMOKU ST|HONOLULU|District 1
04/30/2023   04:44:30  AM|NUISANCE COMPLAINT|9801XX  KAONOHI ST|AIEA|District 3
04/30/2023   04:39:47  AM|MISC SERVICE CALL|23XX  KAPIOLANI BLVD|MCCULLY|District 7
04/30/2023   04:23:12  AM|MISC PUB|35XX  WAIALAE AVE|KAIMUKI|District 7
04/30/2023   03:19:16  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/30/2023   02:53:43  AM|MVC VEH TOWED|HAWAII KAI DR / MOKUHANO ST|HAWAII KAI|District 7
04/30/2023   01:10:30  AM|DUI|H1E KAM OFF|WAIPAHU|District 3
04/30/2023   00:56:16  AM|DUI|XX  H1E FWY|WAIPAHU|District 3
