01/13/2024   04:26:58  AM|VEH TOWED|18XX  DEMOCRAT ST|KALIHI|District 5
01/13/2024   04:22:45  AM|TRAFFIC STOP|PENSACOLA ST / WILDER AVE|MAKIKI|District 1
01/13/2024   04:17:25  AM|ARGUMENT|15XX  AKU PL|MCBH|District 4
01/13/2024   04:10:12  AM|PROPERTY DAMAGE|14XX  S BERETANIA ST|HONOLULU|District 1
01/13/2024   04:02:01  AM|DEFIB CALL|9401XX  PUPUPUHI ST|WAIPAHU|District 3
01/13/2024   04:00:01  AM|MISC SERVICE CALL|XX  NANEA AVE|WAHIAWA|District 2
01/13/2024   03:49:35  AM|WARRANT ARREST|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
01/13/2024   03:32:15  AM|SIMPLE ASSAULT|KONA ST / PIIKOI ST|ALA MOANA|District 1
01/13/2024   01:23:02  AM|TRAFFIC ARREST/CITATION|XX  H1E FWY|WAIPAHU|District 3
01/13/2024   00:20:24  AM|AUTO THEFT RECOVERY|9901XX  KOHOMUA ST|AIEA|District 3
