02/24/2023   23:56:44  PM|PARKING VIOLATION|4XX  NAHUA ST|WAIKIKI|District 6
02/24/2023   23:51:55  PM|TRAFFIC COMPLAINT|5401XX  KAM HWY|HAUULA|District 4
02/24/2023   23:51:32  PM|DROPPED CALL|9XX  SHERIDAN ST|HONOLULU|District 1
02/24/2023   23:50:02  PM|MISC PUB|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/24/2023   23:46:42  PM|THREATENING|56XX  POOLA ST|WAIALAE|District 7
02/24/2023   23:46:35  PM|THREATENING|9207XX  HALALANI PL|KAPOLEI|District 8
02/24/2023   23:35:12  PM|PROPERTY DAMAGE|15XX  PENSACOLA ST|MAKIKI|District 1
02/24/2023   23:19:47  PM|MISC PUB|IROQUOIS DR / BARRACKS RD|EWA BEACH|District 8
02/24/2023   21:34:06  PM|THREATENING|11XX  DAVENPORT ST|MAKIKI|District 1
02/24/2023   20:49:12  PM|WARRANT ARREST|KALAKAUA AVE / FERN ST|MCCULLY|District 1
