10/29/2023   01:14:06  AM|NOISE COMPLAINT|9XX  HAHAIONE ST|HAWAII KAI|District 7
10/29/2023   01:10:09  AM|DUI|PALI HWY / S VINEYARD BLVD|DOWNTOWN|District 1
10/29/2023   01:09:23  AM|ROBBERY|13XX  PALI HWY|DOWNTOWN|District 1
10/29/2023   01:07:27  AM|NUISANCE COMPLAINT|8512XX  KANEAKI ST|WAIANAE|District 8
10/29/2023   01:02:15  AM|SUSP CIRCUMSTANCE|34XX  N NIMITZ HWY|AIRPORT|District 5
10/29/2023   00:58:14  AM|SEX ASSAULT|X JARRETT WHITE RD|TRIPLER|District 5
10/29/2023   00:39:20  AM|HARASSMENT|13XX  PALI HWY|DOWNTOWN|District 1
10/28/2023   22:42:30  PM|FOUND PROPERTY|XX  N HOTEL ST|DOWNTOWN|District 1
10/28/2023   21:21:43  PM|TRESPASS|9810XX  MOANALUA RD|AIEA|District 3
10/28/2023   20:27:25  PM|MISC PUB|KUALAKAI PKWY / KEAHUMOA PKWY|EWA BEACH|District 8
