06/06/2024   05:09:23  AM|SEX ASSAULT|13XX  PUNAHOU ST|MCCULLY|District 7
06/06/2024   05:06:58  AM|STALLED/HAZARD VEH|1XX  H1E FWY|AIEA|District 3
06/06/2024   05:03:33  AM|NOISE COMPLAINT|9805XX  KOAUKA LOOP|AIEA|District 3
06/06/2024   05:02:48  AM|VEH TOWED|POHUKAINA ST / CORAL ST|HONOLULU|District 1
06/06/2024   04:54:41  AM|NUISANCE COMPLAINT|24XX  KALAKAUA AVE|WAIKIKI|District 6
06/06/2024   04:53:01  AM|ICF/SCF|8600XX  FARRINGTON HWY|WAIANAE|District 8
06/06/2024   04:39:23  AM|NUISANCE COMPLAINT|10XX  S KING ST|HONOLULU|District 1
06/06/2024   04:36:20  AM|THREATENING|9400XX  FARRINGTON HWY|WAIPAHU|District 3
06/05/2024   17:36:46  PM|DISORDERLY CONDUCT|23XX  KALAKAUA AVE|WAIKIKI|District 6
