01/30/2025   01:38:28  AM|THEFT|4XX  MCGREW LOOP|MCGREW PT|District 3
01/30/2025   01:32:31  AM|MVC VEH TOWED|WARD AVE / LUNALILO ST|PUNCHBOWL|District 1
01/30/2025   01:29:17  AM|DUI|HAKIMO RD / FARRINGTON HWY|NANAKULI|District 8
01/30/2025   01:25:37  AM|TRESPASS|1XX  OHE ST|KAKAAKO|District 1
01/30/2025   01:14:18  AM|AUTO THEFT|13XX  WILDER AVE|MAKIKI|District 1
01/30/2025   01:09:28  AM|MISC CRIME OFFENSE|27XX  KALAKAUA AVE|WAIKIKI|District 6
01/30/2025   00:49:51  AM|FOLLOW UP|6XX  ULUKAHIKI ST|KAILUA|District 4
01/30/2025   00:25:11  AM|VEH TOWED|10XX  ALA MOANA BLVD|KAKAAKO|District 1
01/30/2025   00:18:29  AM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/29/2025   23:21:40  PM|MISC PUB|KAM HWY / H3E EXIT 11|KANEOHE|District 4
