12/03/2023   12:33:10  PM|MISC PUB|9410XX  HAPAPA ST|WAIPAHU|District 3
12/03/2023   12:30:34  PM|PARKING VIOLATION|10XX  LUNAAI ST|KAILUA|District 4
12/03/2023   12:22:54  PM|FOLLOW UP|2XX  KALIHI ST|KALIHI|District 5
12/03/2023   12:19:06  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/03/2023   12:10:53  PM|MISC SERVICE CALL|9403XX  HOKUAHIAHI ST|MILILANI|District 2
12/03/2023   12:04:05  PM|THREATENING|5907XX  KAWOA WAY|SUNSET|District 2
12/03/2023   11:57:46  AM|UEMV|AALA ST / N VINEYARD BLVD|DOWNTOWN|District 1
12/03/2023   11:27:21  AM|COUNTERFEIT/FORGERY|2XX  KUULEI RD|KAILUA|District 4
12/03/2023   10:19:10  AM|ATTENDED DEATH|18XX  WHITING ST|PUNCHBOWL|District 1
