04/07/2024   00:40:44  AM|FOLLOW UP|42XX  WAIALAE AVE|KAIMUKI|District 7
04/07/2024   00:40:03  AM|MVC VEH TOWED|SALT LAKE BLVD / MALUNA ST|ALIAMANU|District 5
04/07/2024   00:38:54  AM|DISORDERLY CONDUCT|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
04/07/2024   00:37:57  AM|NOISE COMPLAINT|8403XX  FARRINGTON HWY|MAKAHA|District 8
04/07/2024   00:34:38  AM|MVC VEH TOWED|LUSITANA ST / PUOWAINA DR|PUNCHBOWL|District 1
04/07/2024   00:28:23  AM|MISC PUB|4XX  N SCHOOL ST|NUUANU|District 5
04/07/2024   00:24:49  AM|ARGUMENT|16XX  KILOHANA ST|KALIHI|District 5
04/07/2024   00:14:25  AM|MISC SERVICE CALL|9408XX  LUMIPONI PL|WAIPIO|District 3
04/06/2024   23:46:29  PM|VEH TOWED|LIHOLIHO ST / LUNALILO ST|MAKIKI|District 1
