08/14/2024   03:21:45  AM|MISC SERVICE CALL|23XX  ALA WAI BLVD|WAIKIKI|District 6
08/14/2024   03:20:00  AM|NOISE COMPLAINT|9109XX  NORTH RD|EWA BEACH|District 8
08/14/2024   03:07:46  AM|MVC VEH TOWED|KAMAAHA AVE / MANAWAI ST|KAPOLEI|District 8
08/14/2024   03:06:23  AM|MVC VEH TOWED|8XX  WARD AVE|HONOLULU|District 1
08/14/2024   03:04:59  AM|TRAFFIC COMPLAINT|FD ROOSEVELT AVE / BOUGAINVILLE ST|KALAELOA|District 8
08/14/2024   02:34:02  AM|SEX ASSAULT|3XX  N KUAKINI ST|NUUANU|District 5
08/14/2024   02:04:13  AM|FAMILY OFF/NEG|8716XX  ULEHAWA RD|NANAKULI|District 8
08/14/2024   00:57:55  AM|RECKLESS ENDANGERING|17XX  HOUGHTAILING ST|KALIHI|District 5
08/14/2024   00:46:28  AM|TRESPASS WARN|9116XX  FORT WEAVER RD|EWA BEACH|District 8
08/13/2024   16:45:54  PM|AUTO THEFT|X H1E FWY|KAPOLEI|District 8
