12/20/2024   05:57:57  AM|THREATENING|28XX  HAPUE LOOP|HALAWA|District 3
12/20/2024   05:57:55  AM|MVC|H1E EXIT18A NIMITZ|AIRPORT|District 5
12/20/2024   05:51:26  AM|PARKING VIOLATION|1XX  S SCHOOL ST|PUNCHBOWL|District 1
12/20/2024   05:48:50  AM|SUSP CIRCUMSTANCE|9110XX  YORKTOWN ST|KALAELOA|District 8
12/20/2024   05:38:38  AM|MVC|UALENA ST / PAIEA ST|AIRPORT|District 5
12/20/2024   05:33:35  AM|MVC VEH TOWED|KOAPAKA ST / WAIWAI LOOP|AIRPORT|District 5
12/20/2024   03:26:38  AM|VEH TOWED|65XX  KALANIANAOLE HWY|HAWAII KAI|District 7
12/20/2024   02:09:14  AM|MVC VEH TOWED|KEWALO ST / WILDER AVE|MAKIKI|District 1
12/19/2024   21:14:25  PM|VEH TOWED|8701XX  MALIONA ST|MAILI|District 8
