04/04/2025   04:43:31  AM|PARKING VIOLATION|29XX  KAMAKINI ST|KAIMUKI|District 7
04/04/2025   04:43:18  AM|THREATENING|11XX  BISHOP ST|DOWNTOWN|District 1
04/04/2025   04:38:22  AM|MISC SERVICE CALL|9123XX  OLD FORT WEAVER RD|EWA BEACH|District 8
04/04/2025   04:31:10  AM|VEH TOWED|4XX  NOHONANI ST|WAIKIKI|District 6
04/04/2025   04:29:13  AM|VEH TOWED|SARATOGA RD / KALAKAUA AVE|WAIKIKI|District 6
04/04/2025   02:56:39  AM|MEDICAL ASSIST|16XX  ALA MOANA BLVD|ALA MOANA|District 1
04/04/2025   02:31:49  AM|VEH TOWED|9205XX  MAKAKILO DR|MAKAKILO|District 8
04/04/2025   00:17:43  AM|VEH TOWED|XX  H1W FWY|MAKAKILO|District 8
04/03/2025   19:05:00  PM|FAMILY OFF/NEG|9110XX  ILIAHIALOE LOOP|EWA BEACH|District 8
