08/28/2023   00:39:31  AM|DEFIB CALL|14XX  AKULEANA PL|KAILUA|District 4
08/28/2023   00:15:41  AM|MVC|9410XX  WAIPIO UKA ST|WAIPIO|District 3
08/28/2023   00:06:10  AM|MVC VEH TOWED|8603XX  PUHAWAI RD|WAIANAE|District 8
08/28/2023   00:03:53  AM|MISC PUB|XX  H2N FWY|MILILANI|District 2
08/28/2023   00:02:03  AM|PARKING VIOLATION|9409XX  KUHAULUA ST|WAIPAHU|District 3
08/27/2023   23:37:41  PM|ARGUMENT FAMILY|43XX  ORION DR|KALAELOA|District 8
08/27/2023   23:15:15  PM|AUTO THEFT RECOVERY|9XX  BIRCH ST|HONOLULU|District 1
08/27/2023   22:54:05  PM|ARGUMENT|65XX  103RD ST|IROQUOIS|District 8
08/27/2023   22:45:30  PM|PARKING VIOLATION|9112XX  PUAINA ST|EWA BEACH|District 8
08/27/2023   22:42:46  PM|FAMILY OFF/NEG|9406XX  LAENUI ST|WAIPAHU|District 3
