12/01/2023   05:41:45  AM|ALARM CALL|9411XX  WAIPAHU ST|WAIPAHU|District 3
12/01/2023   05:39:03  AM|VEH TOWED|2XX  H1E FWY|HONOLULU|District 1
12/01/2023   05:34:48  AM|SUSP CIRCUMSTANCE|12XX  ALA KAPUNA|MOANALUA V|District 5
12/01/2023   05:27:57  AM|PARKING VIOLATION|10XX  GREEN ST|MAKIKI|District 1
12/01/2023   05:22:07  AM|SIMPLE ASSAULT|17XX  ALA MOANA BLVD|WAIKIKI|District 6
12/01/2023   05:19:12  AM|UEMV|5XX  ALAKAWA ST|KALIHI|District 5
12/01/2023   05:09:12  AM|BURGLARY VEH CXL|AHONUI ST / N SCHOOL ST|KALIHI|District 5
12/01/2023   02:21:06  AM|BURGLARY|9XX  VALKENBURGH ST|MOANALUA|District 5
11/30/2023   22:32:33  PM|MVC VEH TOWED|19XX  WILIKINA DR|WAHIAWA|District 2
