10/29/2023   22:57:10  PM|AUTO THEFT|26XX  S KING ST|MCCULLY|District 7
10/29/2023   22:55:46  PM|MVC VEH TOWED|FARRINGTON HWY / MAKAKILO DR|KAPOLEI|District 8
10/29/2023   22:55:06  PM|VEH TOWED|WAIMANU ST / KAMANI ST|HONOLULU|District 1
10/29/2023   22:52:17  PM|ARGUMENT FAMILY|8716XX  FARRINGTON HWY|NANAKULI|District 8
10/29/2023   22:51:20  PM|NUISANCE COMPLAINT|9402XX  PAIWA ST|WAIPAHU|District 3
10/29/2023   22:31:39  PM|MEDICAL ASSIST|4704XX  HUI IWA ST|KANEOHE|District 4
10/29/2023   22:28:18  PM|UNATTENDED DEATH|13XX  PUNCHBOWL ST|HONOLULU|District 1
10/29/2023   21:42:50  PM|MISC PUB|GEIGER RD / KAMAKANA ST|KALAELOA|District 8
10/29/2023   21:14:05  PM|PROPERTY DAMAGE|8708XX  FARRINGTON HWY|MAILI|District 8
