05/29/2023   17:48:32  PM|ARGUMENT|5401XX  KAWAEKU ST|HAUULA|District 4
05/29/2023   17:47:29  PM|MISC PUB|9110XX  HANALOA ST|EWA BEACH|District 8
05/29/2023   17:39:51  PM|FOLLOW UP|6703XX  KUKEA CIR|MOKULEIA|District 2
05/29/2023   17:31:16  PM|MISC PUB|6601XX  HALEIWA RD|HALEIWA|District 2
05/29/2023   16:48:37  PM|FAMILY OFF/NEG|8504XX  WAIANAE VALLEY RD|WAIANAE|District 8
05/29/2023   16:33:44  PM|FOLLOW UP|8602XX  FARRINGTON HWY|WAIANAE|District 8
05/29/2023   16:16:35  PM|TRESPASS|9513XX  LEHIWA DR|MILILANI|District 2
05/29/2023   15:07:30  PM|VEH TOWED|9810XX  MOANALUA RD|AIEA|District 3
05/29/2023   14:44:53  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
05/29/2023   14:33:41  PM|RUNAWAY CXL|24XX  KALAKAUA AVE|WAIKIKI|District 6
