09/12/2023   01:39:53  AM|NUISANCE COMPLAINT|1XX  ONEAWA ST|KAILUA|District 4
09/12/2023   01:36:16  AM|MVC|QUEEN ST / ALA MOANA BLVD|ALA MOANA|District 1
09/12/2023   01:30:51  AM|TRESPASS WARN|21XX  KALAKAUA AVE|WAIKIKI|District 6
09/12/2023   01:24:56  AM|SUSP CIRCUMSTANCE|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
09/12/2023   00:51:06  AM|MVC VEH TOWED|PALOLO AVE / HOANOHO PL|KAIMUKI|District 7
09/12/2023   00:34:29  AM|TRESPASS WARN|24XX  KALAKAUA AVE|WAIKIKI|District 6
09/12/2023   00:06:39  AM|WARRANT ARREST|12XX  ALA MOANA BLVD|ALA MOANA|District 1
09/11/2023   23:28:56  PM|FAMILY OFF/NEG|8701XX  KAUKAMANA RD|MAILI|District 8
09/11/2023   21:07:53  PM|UNATTENDED DEATH|4XX  NIU ST|WAIKIKI|District 6
