10/04/2024   03:18:45  AM|SUSP CIRCUMSTANCE|9410XX  HAALAU ST|WAIPAHU|District 3
10/04/2024   03:11:57  AM|PROPERTY DAMAGE|12XX  S KING ST|HONOLULU|District 1
10/04/2024   02:52:15  AM|WARRANT ARREST|3XX  KALIHI ST|KALIHI|District 5
10/04/2024   01:38:25  AM|DUI|2XX  H1W FWY|KALIHI|District 5
10/04/2024   01:23:53  AM|WARRANT ARREST|37XX  PAKI AVE|WAIKIKI|District 6
10/04/2024   00:54:16  AM|SIMPLE ASSAULT|8603XX  HOKUPAA ST|WAIANAE|District 8
10/04/2024   00:52:51  AM|TRAFFIC ARREST/CITATION|18XX  N KING ST|KALIHI|District 5
10/04/2024   00:30:53  AM|DUI|8903XX  FARRINGTON HWY|NANAKULI|District 8
10/03/2024   23:30:44  PM|DUI|8506XX  FARRINGTON HWY|WAIANAE|District 8
