02/02/2025   21:58:06  PM|PROPERTY DAMAGE|12XX  RICHARD LN|KALIHI|District 5
02/02/2025   21:56:20  PM|ALARM CALL|9108XX  FORT WEAVER RD|EWA BEACH|District 8
02/02/2025   21:51:17  PM|MISC SERVICE CALL|23XX  AHAKAPU ST|PEARL CITY|District 3
02/02/2025   21:48:37  PM|MISC SERVICE CALL|12XX  MATLOCK AVE|HONOLULU|District 1
02/02/2025   21:38:26  PM|AUTO THEFT RECOVERY|8501XX  ALA AKAU ST|WAIANAE|District 8
02/02/2025   20:52:59  PM|MISC PUB|FARRINGTON HWY / ALIINUI DR|KAPOLEI|District 8
02/02/2025   20:18:42  PM|BURGLARY VEH TAKEN|8715XX  FARRINGTON HWY|NANAKULI|District 8
02/02/2025   19:54:38  PM|CUSTODIAL INTERFERENCE|2XX  N VINEYARD BLVD|DOWNTOWN|District 1
02/02/2025   19:50:14  PM|FOLLOW UP|2XX  CIRCLE MAKAI ST|WAHIAWA|District 2
