03/08/2025   07:12:46  AM|FOLLOW UP|22XX  AHE ST|KAIMUKI|District 7
03/08/2025   07:12:35  AM|MEDICAL ASSIST|23XX  APOEPOE ST|PEARL CITY|District 3
03/08/2025   07:07:48  AM|AUTO THEFT|5XX  LEHUA AVE|PC PEN|District 3
03/08/2025   07:06:02  AM|PARKING VIOLATION|HOKUA ST / HOKUA PL|EWA BEACH|District 8
03/08/2025   06:56:09  AM|UEMV|9808XX  KAAMILO ST|AIEA|District 3
03/08/2025   06:46:40  AM|VEH TOWED|9407XX  FARRINGTON HWY|WAIPAHU|District 3
03/08/2025   06:38:08  AM|VEH TOWED|11XX  HALOA DR|AIEA|District 3
03/08/2025   06:11:32  AM|DISORDERLY CONDUCT|21XX  KALAKAUA AVE|WAIKIKI|District 6
03/08/2025   05:43:53  AM|MVC|MOKAPU RD / KANEOHE BAY DR|KAILUA|District 4
