02/21/2023   22:36:21  PM|RUNAWAY|10XX  ALA NAPUNANI|SALT LAKE|District 5
02/21/2023   22:31:00  PM|TRAFFIC COMPLAINT|KAPAA QUARRY RD / KALANIANAOLE HWY|KAILUA|District 4
02/21/2023   22:24:11  PM|FAMILY OFF/NEG|KALAKAUA AVE / S KING ST|HONOLULU|District 1
02/21/2023   22:22:47  PM|THEFT|24XX  KALAKAUA AVE|WAIKIKI|District 6
02/21/2023   22:22:37  PM|NUISANCE COMPLAINT|XX  KANEOHE BAY DR|KAILUA|District 4
02/21/2023   22:19:52  PM|WARRANT ARREST|8504XX  FARRINGTON HWY|WAIANAE|District 8
02/21/2023   22:03:05  PM|NUISANCE COMPLAINT|24XX  TUSITALA ST|WAIKIKI|District 6
02/21/2023   22:02:06  PM|WARRANT ARREST|PONO ST / MOANALUA RD|AIEA|District 3
02/21/2023   21:43:22  PM|FAMILY OFF/NEG|6XX  MALUNIU AVE|KAILUA|District 4
02/21/2023   21:41:11  PM|WARRANT ARREST|19XX  ALA WAI BLVD|WAIKIKI|District 6
02/21/2023   21:12:26  PM|LOST PROPERTY|9110XX  UALAKUPU ST|KAPOLEI|District 8
