01/23/2023   22:13:13  PM|NOISE COMPLAINT|8601XX  MOEHA ST|WAIANAE|District 8
01/23/2023   22:10:47  PM|PROPERTY DAMAGE|13XX  KAPIOLANI BLVD|HONOLULU|District 1
01/23/2023   22:05:21  PM|MISC SERVICE CALL|4XX  LAGOON DR|AIRPORT|District 5
01/23/2023   21:57:42  PM|MVC|32XX  LOULU ST|MANOA|District 7
01/23/2023   21:49:45  PM|PROPERTY DAMAGE|12XX  NUUANU AVE|DOWNTOWN|District 1
01/23/2023   21:49:23  PM|MISC SERVICE CALL|7XX  OLD MOKAPU RD|KAILUA|District 4
01/23/2023   21:33:48  PM|HARASSMENT|XX  HIALOA ST|NUUANU|District 5
01/23/2023   21:26:53  PM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
01/23/2023   21:07:34  PM|MISC PUB|KANEOHE BAY DR / H3E FWY|KAILUA|District 4
01/23/2023   20:11:58  PM|WARRANT ARREST|SUMNER ST / IWILEI RD|KALIHI|District 5
