03/24/2023   00:43:07  AM|NUISANCE COMPLAINT|6XX  KAILUA RD|KAILUA|District 4
03/24/2023   00:37:35  AM|TRAFFIC STOP|KAPIOLANI BLVD / PIIKOI ST|HONOLULU|District 1
03/24/2023   00:34:42  AM|THEFT|17XX  S BERETANIA ST|MCCULLY|District 7
03/24/2023   00:33:55  AM|SIMPLE ASSAULT|14XX  KOKO HEAD AVE|KAIMUKI|District 7
03/24/2023   00:32:11  AM|DUI|9901XX  AIEA HTS DR|AIEA|District 3
03/24/2023   00:04:41  AM|AUTO THEFT RECOVERY|FARRINGTON HWY / NANAIKEOLA ST|NANAKULI|District 8
03/23/2023   23:54:11  PM|DUI|S KING ST / MCCULLY ST|MCCULLY|District 7
03/23/2023   23:46:40  PM|FOLLOW UP|5XX  QUEEN ST|HONOLULU|District 1
03/23/2023   23:28:21  PM|WARRANT ARREST|FARRINGTON HWY / KAKALENA ST|MAILI|District 8
03/23/2023   21:54:19  PM|MVC VEH TOWED|70XX  HAWAII KAI DR|HAWAII KAI|District 7
