05/20/2023   06:27:49  AM|MISC PUB|12XX  S KING ST|HONOLULU|District 1
05/20/2023   06:24:38  AM|SIMPLE ASSAULT|9XX  N SCHOOL ST|KALIHI|District 5
05/20/2023   06:21:17  AM|LOUD PARTY|PAKEKE ST / AHEKAI ST|MAILI|District 8
05/20/2023   06:16:15  AM|UEMV|78XX  KALANIANAOLE HWY|HAWAII KAI|District 7
05/20/2023   06:13:36  AM|PARKING VIOLATION|KAIOO DR / HOBRON LN|WAIKIKI|District 6
05/20/2023   05:50:06  AM|TRAFFIC COMPLAINT|35XX  LOULU ST|MANOA|District 7
05/20/2023   05:47:38  AM|NOISE COMPLAINT|LAHILAHI ST / FARRINGTON HWY|MAKAHA|District 8
05/20/2023   05:35:05  AM|VEH NOISE|64XX  101ST ST|IROQUOIS|District 8
05/20/2023   04:44:22  AM|ICF/SCF|8708XX  FARRINGTON HWY|MAILI|District 8
