03/04/2025   05:54:22  AM|ICF/SCF|11XX  12TH AVE|KAIMUKI|District 7
03/04/2025   05:53:53  AM|ARGUMENT FAMILY|24XX  KUHIO AVE|WAIKIKI|District 6
03/04/2025   05:28:45  AM|MVC VEH TOWED|HOOMALUHIA PRIVATE RD / KIONAOLE RD|KANEOHE|District 4
03/04/2025   05:23:31  AM|TRAFFIC COMPLAINT|4XX  LEWERS ST|WAIKIKI|District 6
03/04/2025   03:42:01  AM|TRESPASS|8500XX  FARRINGTON HWY|MAKAHA|District 8
03/04/2025   01:03:40  AM|RUNAWAY|12XX  RICHARD LN|KALIHI|District 5
03/03/2025   23:53:43  PM|FOLLOW UP|9111XX  AAWA DR|EWA BEACH|District 8
03/03/2025   21:52:19  PM|TRESPASS WARN|5XX  FARRINGTON HWY|KAPOLEI|District 8
03/03/2025   21:07:03  PM|TRAFFIC ARREST/CITATION|XX  H1W FWY|KUNIA|District 8
