08/27/2023   18:41:53  PM|WARRANT ARREST|37XX  POKA PL|KAHALA|District 7
08/27/2023   18:39:02  PM|MISC SERVICE CALL|1XX  ONEAWA ST|KAILUA|District 4
08/27/2023   18:36:34  PM|MVC|9111XX  KEAUNUI DR|EWA BEACH|District 8
08/27/2023   18:36:32  PM|UEMV|39XX  NUUANU PALI DR|NUUANU|District 5
08/27/2023   18:31:05  PM|MISC CRIME OFFENSE|8705XX  FARRINGTON HWY|MAILI|District 8
08/27/2023   18:29:05  PM|MISC PUB|9414XX  KAHUALOA ST|WAIPAHU|District 3
08/27/2023   18:27:16  PM|THEFT|42XX  BOUGAINVILLE AVE|KALAELOA|District 8
08/27/2023   18:05:58  PM|MVC VEH TOWED|9811XX  KAAMILO ST|AIEA|District 3
08/27/2023   17:34:50  PM|MVC VEH TOWED|TRIPOLI ST / CORAL SEA RD|KALAELOA|District 8
