01/14/2024   00:12:20  AM|MEDICAL ASSIST|19XX  ALA WAI BLVD|WAIKIKI|District 6
01/14/2024   00:11:38  AM|LOUD PARTY|21XX  KANEALII AVE|PUNCHBOWL|District 1
01/14/2024   00:09:08  AM|STALLED/HAZARD VEH|MAKAKILO FROM H1W|MAKAKILO|District 8
01/14/2024   00:07:36  AM|NUISANCE COMPLAINT|14XX  LILIHA ST|DOWNTOWN|District 1
01/14/2024   00:05:25  AM|PROPERTY DAMAGE|NUUANU AVE / N VINEYARD BLVD|DOWNTOWN|District 1
01/13/2024   22:47:52  PM|WARRANT ARREST|XX  ILIAHI ST|NUUANU|District 5
01/13/2024   22:40:34  PM|FAMILY OFF/NEG|9112XX  KUANOO ST|EWA BEACH|District 8
01/13/2024   21:29:57  PM|AUTO THEFT RECOVERY|15XX  DILLINGHAM BLVD|KALIHI|District 5
01/13/2024   20:22:08  PM|FAMILY OFF/NEG|10XX  AUAHI ST|HONOLULU|District 1
