01/21/2023   15:43:28  PM|ARGUMENT|BIRCH ST / KAMAILE ST|HONOLULU|District 1
01/21/2023   15:41:41  PM|PARKING VIOLATION|LEOOLE ST / LEONUI ST|WAIPAHU|District 3
01/21/2023   15:41:01  PM|MVC|5301XX  KAM HWY|PUNALUU|District 4
01/21/2023   15:37:42  PM|LOUD PARTY|8701XX  HELELUA ST|NANAKULI|District 8
01/21/2023   15:37:34  PM|VEH TOWED|29XX  KALAKAUA AVE|WAIKIKI|District 6
01/21/2023   15:30:14  PM|MISC PUB|5700XX  KUILIMA DR|KAHUKU|District 4
01/21/2023   15:23:29  PM|VEH TOWED|1XX  ULUNIU AVE|WAIKIKI|District 6
01/21/2023   15:20:09  PM|THEFT|9802XX  KAONOHI ST|AIEA|District 3
01/21/2023   15:11:12  PM|ORDER VIOLATION|8911XX  PIKAIOLENA ST|NANAKULI|District 8
01/21/2023   15:08:28  PM|THEFT|17XX  9TH AVE|KAIMUKI|District 7
01/21/2023   15:07:17  PM|MVC|8XX  KAM HWY|PEARL CITY|District 3
01/21/2023   14:31:01  PM|UEMV|6903XX  FARRINGTON HWY|MOKULEIA|District 2
01/21/2023   12:46:17  PM|MISSING PERSON CXL|8100XX  FARRINGTON HWY|MAKAHA|District 8
01/21/2023   12:16:20  PM|THEFT|4505XX  MAHINUI RD|KANEOHE|District 4
