02/09/2025   10:27:55  AM|VEH TOWED|KAWAILOA RD / ALALA RD|KAILUA|District 4
02/09/2025   10:25:31  AM|MEDICAL ASSIST|XX  HIALOA ST|NUUANU|District 5
02/09/2025   10:24:52  AM|THEFT|50XX  NUUANU PALI DR|NUUANU|District 5
02/09/2025   10:24:05  AM|MVC|16XX  MAKALOA ST|HONOLULU|District 1
02/09/2025   10:20:18  AM|ARGUMENT|14XX  KOKEA ST|KALIHI|District 5
02/09/2025   10:17:20  AM|THEFT|9402XX  KAHUAPILI ST|WAIPAHU|District 3
02/09/2025   10:15:41  AM|MISC PUB|9406XX  KUPUOHI ST|WAIPAHU|District 3
02/09/2025   10:11:15  AM|SUSP CIRCUMSTANCE|9401XX  FARRINGTON HWY|WAIPAHU|District 3
02/09/2025   10:02:27  AM|TRESPASS WARN|9500XX  WAIMAKUA DR|MILILANI|District 2
