01/29/2025   05:12:07  AM|NUISANCE COMPLAINT|10XX  YOUNG ST|HONOLULU|District 1
01/29/2025   05:11:13  AM|TRAFFIC COMPLAINT|KAM HWY / RADFORD DR|AIEA|District 3
01/29/2025   05:10:46  AM|PARKING VIOLATION|9110XX  KAIPU ST|EWA BEACH|District 8
01/29/2025   04:52:19  AM|BURGLARY|9XX  VALKENBURGH ST|MOANALUA|District 5
01/29/2025   04:06:55  AM|MVC|8701XX  MAIPALAOA RD|MAILI|District 8
01/29/2025   04:01:28  AM|ORDER VIOLATION|9814XX  KAAHUMANU ST|AIEA|District 3
01/29/2025   02:43:49  AM|FAMILY OFF/NEG|7XX  KAM HWY|PEARL CITY|District 3
01/29/2025   02:02:33  AM|MISC PUB|9103XX  KOMOHANA PL|KAPOLEI|District 8
01/29/2025   01:16:01  AM|FAMILY OFF/NEG|21XX  KUHIO AVE|WAIKIKI|District 6
01/28/2025   22:02:40  PM|DISORDERLY CONDUCT|20XX  KALAKAUA AVE|WAIKIKI|District 6
