04/26/2023   03:08:37  AM|ARGUMENT|8401XX  ORANGE ST|MAKAHA|District 8
04/26/2023   02:58:00  AM|MISC PUB|9511XX  UKUWAI ST|MILILANI|District 2
04/26/2023   02:57:37  AM|VEH TOWED|4XX  LAUNIU ST|WAIKIKI|District 6
04/26/2023   02:36:41  AM|DUI|ALA WAI BLVD / KAIOLU ST|WAIKIKI|District 6
04/26/2023   02:36:17  AM|MISC PUB|XX  S KAM HWY|WAHIAWA|District 2
04/26/2023   02:22:15  AM|MISC PUB|9407XX  MEHEULA PKWY|MILILANI|District 2
04/26/2023   02:12:15  AM|SEX ASSAULT|9504XX  KAELO PL|MILILANI|District 2
04/26/2023   00:49:18  AM|AUTO THEFT RECOVERY|ULIEO ST / PULOKU ST|WAIPAHU|District 3
04/26/2023   00:15:51  AM|SIMPLE ASSAULT|22XX  KALAKAUA AVE|WAIKIKI|District 6
04/25/2023   23:35:50  PM|ROBBERY|5XX  AVOCADO ST|WAHIAWA|District 2
