07/09/2023   02:12:31  AM|TRESPASS|22XX  KALAKAUA AVE|WAIKIKI|District 6
07/09/2023   02:10:11  AM|VEH TOWED|6204XX  KAM HWY|HALEIWA|District 2
07/09/2023   02:09:17  AM|MVC|1XX  VANDENBERG BLVD|JB HICKAM|District 5
07/09/2023   02:02:46  AM|FIREWORKS VIOLATION|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
07/09/2023   01:57:08  AM|THEFT|8XX  MOOWAA ST|KALIHI|District 5
07/09/2023   01:39:25  AM|UNATTENDED DEATH|13XX  PUNCHBOWL ST|HONOLULU|District 1
07/09/2023   01:27:51  AM|THEFT|12XX  S KING ST|HONOLULU|District 1
07/09/2023   00:46:25  AM|MVC VEH TOWED|1XX  H1W FWY|KALIHI|District 5
07/08/2023   23:15:03  PM|AGGRAVATED ASSAULT|18XX  N SCHOOL ST|KALIHI|District 5
