01/28/2024   00:55:15  AM|NOISE COMPLAINT|HAUHELE RD / PUAKENIKENI RD|KAAAWA|District 4
01/28/2024   00:53:28  AM|MEDICAL ASSIST|21XX  NUUANU AVE|NUUANU|District 5
01/28/2024   00:52:17  AM|MEDICAL ASSIST|25XX  ALA WAI BLVD|WAIKIKI|District 6
01/28/2024   00:46:26  AM|NOISE COMPLAINT|17XX  LANAKILA AVE|NUUANU|District 5
01/28/2024   00:21:26  AM|BURGLARY|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/28/2024   00:18:25  AM|VEH TOWED|LIKELIKE HWY / KAM IV RD|KALIHI|District 5
01/27/2024   23:50:42  PM|MVC VEH TOWED|2XX  H1W FWY|NUUANU|District 5
01/27/2024   23:49:25  PM|WARRANT ARREST|PUA LN / N VINEYARD BLVD|KALIHI|District 5
01/27/2024   23:19:30  PM|MISC PUB|3XX  PALM ST|WAHIAWA|District 2
