11/30/2023   02:39:35  AM|VEH TOWED|HOOLEHUA ST / HUAONO PL|PEARL CITY|District 3
11/30/2023   02:37:14  AM|TRESPASS WARN|48XX  BOUGAINVILLE DR|MOANALUA|District 5
11/30/2023   02:25:04  AM|MEDICAL ASSIST|26XX  S KING ST|MCCULLY|District 7
11/30/2023   02:24:36  AM|ICF/SCF|8507XX  KAUPUNI PL|WAIANAE|District 8
11/30/2023   02:05:42  AM|SUSP CIRCUMSTANCE|17XX  MALIU ST|KALIHI|District 5
11/30/2023   01:15:46  AM|FOLLOW UP|6704XX  AIKAULA ST|WAIALUA|District 2
11/30/2023   00:32:36  AM|AUTO THEFT RECOVERY|GOODALE AVE / HAONA ST|WAIALUA|District 2
11/29/2023   22:24:50  PM|MISC PUB|OLOMEA ST / IAO LN|KALIHI|District 5
11/29/2023   22:14:25  PM|MVC VEH TOWED|9213XX  PANANA ST|MAKAKILO|District 8
