04/09/2025   05:13:54  AM|SUSP CIRCUMSTANCE|XX  H2S FWY|MILILANI|District 2
04/09/2025   05:12:57  AM|TRESPASS|19XX  ALA MOANA BLVD|WAIKIKI|District 6
04/09/2025   05:05:35  AM|VEH TOWED|16XX  ALA WAI BLVD|WAIKIKI|District 6
04/09/2025   04:58:04  AM|PARKING VIOLATION|4XX  KALAIMOKU ST|WAIKIKI|District 6
04/09/2025   04:51:39  AM|MVC VEH TOWED|9110XX  KEONEULA BLVD|EWA BEACH|District 8
04/09/2025   04:21:52  AM|MISC SERVICE CALL|9110XX  KAIEE ST|EWA BEACH|District 8
04/09/2025   04:12:41  AM|AUTO THEFT RECOVERY|8719XX  FARRINGTON HWY|NANAKULI|District 8
04/09/2025   00:09:38  AM|MISC CRIME OFFENSE|39XX  PAKI AVE|WAIKIKI|District 6
04/08/2025   21:21:49  PM|FAMILY OFF/NEG|9404XX  MOKUOLA ST|WAIPAHU|District 3
