06/06/2023   15:40:54  PM|MEDICAL ASSIST|10XX  ALOHIKEA ST|KAPOLEI|District 8
06/06/2023   15:38:04  PM|WARRANT ARREST|4505XX  KAM HWY|KANEOHE|District 4
06/06/2023   15:24:41  PM|WARRANT ARREST|KALAKAUA AVE / OHUA AVE|WAIKIKI|District 6
06/06/2023   15:19:56  PM|MISC SERVICE CALL|11XX  WAIKUI PL|KAHALA|District 7
06/06/2023   15:14:36  PM|MVC|20XX  KAHAI ST|KALIHI|District 5
06/06/2023   14:46:07  PM|WARRANT ARREST|KALAKAUA AVE / LILIUOKALANI AVE|WAIKIKI|District 6
06/06/2023   14:40:24  PM|MISC PUB|15XX  H3W FWY|MCBH|District 4
06/06/2023   14:17:09  PM|THEFT|27XX  KILIHAU ST|MAPUNAPUNA|District 5
06/06/2023   14:16:20  PM|SIMPLE ASSAULT|WAIAKAMILO RD / COLBURN ST|KALIHI|District 5
06/06/2023   12:59:52  PM|THEFT|20XX  KALIHI ST|KALIHI|District 5
