04/21/2024   02:12:23  AM|PARKING VIOLATION|9401XX  PUPUNOHE ST|WAIPAHU|District 3
04/21/2024   02:06:41  AM|ARGUMENT|15XX  KEWALO ST|MAKIKI|District 1
04/21/2024   02:06:24  AM|HAZARDOUS DRIVER|BARBERS POINT KINGS / CORAL SEA RD|KALAELOA|District 8
04/21/2024   02:01:49  AM|SIMPLE ASSAULT|17XX  WILIKINA DR|WAHIAWA|District 2
04/21/2024   01:53:58  AM|FAMILY OFF/NEG|8411XX  HANA ST|MAKAHA|District 8
04/21/2024   01:52:22  AM|SIMPLE ASSAULT|21XX  KALENA DR|KALIHI|District 5
04/21/2024   01:50:37  AM|NOISE COMPLAINT|14XX  VICTORIA ST|MAKIKI|District 1
04/21/2024   01:23:48  AM|TRESPASS WARN|8509XX  FARRINGTON HWY|WAIANAE|District 8
04/20/2024   22:41:10  PM|AGGRAVATED ASSAULT|8717XX  FARRINGTON HWY|NANAKULI|District 8
