08/06/2023   06:28:02  AM|SIMPLE ASSAULT|13XX  PUNCHBOWL ST|HONOLULU|District 1
08/06/2023   06:27:58  AM|MISC SERVICE CALL|24XX  WAIOMAO RD|KAIMUKI|District 7
08/06/2023   06:27:26  AM|SUSP CIRCUMSTANCE|14XX  LINAPUNI ST|KALIHI|District 5
08/06/2023   06:27:13  AM|ALARM CALL|47XX  KAHALA AVE|KAHALA|District 7
08/06/2023   06:20:42  AM|ORDER VIOLATION|29XX  ALA ILIMA|SALT LAKE|District 5
08/06/2023   06:20:04  AM|MISC SERVICE CALL|15XX  HOOLI CIR|PEARL CITY|District 3
08/06/2023   06:16:31  AM|PARKING VIOLATION|30XX  ALA ILIMA|SALT LAKE|District 5
08/06/2023   06:15:47  AM|PARKING VIOLATION|9115XX  RENTON RD|EWA BEACH|District 8
08/06/2023   06:13:59  AM|PARKING VIOLATION|KUHAULUA ST / HIAPO ST|WAIPAHU|District 3
08/06/2023   04:58:30  AM|UNATTENDED DEATH|9812XX  KULAWAI ST|AIEA|District 3
